Departure,Arrival,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a
MCO,HOU,20-Apr,75,100,100,100,0,0,0.24,1.71,8.37,0.81,1.72,0.48,1.69,0.79
MCO,HPN,20-Apr,11,100,100,100,0,0,2.27,3,14.27,3.55,0,0.67,0.73,0.64
MCO,IAD,20-Apr,46,100,100,100,0,0,0.37,1.56,13.02,0.43,0.37,0.41,0.04,0
MCO,IAH,20-Apr,48,93.75,93.75,93.75,0,0,2.98,2.32,13.48,3.46,1.08,2.21,1.23,2.79
MCO,IND,20-Apr,78,93.59,92.31,94.87,0,0,2.71,1.9,9.24,3.26,0.63,0.49,0.88,2.5
MCO,ISP,20-Apr,33,100,100,100,0,0,0.03,3.57,11.7,0.64,2.33,0.36,1.21,0
MCO,JAX,20-Apr,1,0,0,0,0,0,43,0,11,42,9,0,6,49
MCO,JFK,20-Apr,76,92.11,86.84,93.42,0,0,4.29,2.27,13.29,5.39,0.71,0.65,0.54,3.32
MCO,LAS,20-Apr,28,100,100,75,0,0,0,2.27,10.04,0.79,1.89,0.49,11.43,8.25
MCO,LAX,20-Apr,48,97.92,97.92,91.67,0,0,1.63,2.79,14.08,1.63,1.67,0.28,6.67,4.81
MCO,LGA,20-Apr,25,96,96,96,0,0,5.8,2.15,13.4,6.16,1.16,0.42,0,5.48
MCO,MCI,20-Apr,57,96.49,96.49,96.49,0,0,1.14,2,9.49,1.49,2.49,0.64,3.26,1.84
MCO,MDW,20-Apr,98,96.94,96.94,98.98,0,0,1.02,1.98,8.85,1.56,0.43,0.76,0.6,0.83
MCO,MEM,20-Apr,12,100,100,100,0,0,0.75,1.82,9.67,1.42,1.58,0.22,0.42,0
MCO,MHT,20-Apr,17,94.12,94.12,100,0,0,1.12,1.98,8.82,2,0.71,0.46,0,0.41
MCO,MIA,20-Apr,106,95.28,95.28,97.17,0,0,1.92,2.75,14.08,2.22,0.45,0.63,0.42,1.5
MCO,MKE,20-Apr,78,97.44,97.44,97.44,0,0,0.92,1.75,9.09,1.41,2.51,0.63,1.13,1.08
MCO,MSP,20-Apr,48,89.58,87.5,93.75,0,0,2.63,2.26,12.98,3.13,1.81,0.31,4.65,3.73
MCO,MSY,20-Apr,63,93.65,92.06,95.24,0,0,1.76,1.67,9.27,2.17,0.76,1.52,1.02,1.57
MCO,OMA,20-Apr,3,100,100,100,0,0,0,4.03,11.33,1.67,4.67,0,5.33,3.33
MCO,ORD,20-Apr,110,98.18,98.18,99.09,0,0,0.95,2.25,13.56,1.15,0.52,2.44,0.36,0.69
MCO,PBI,20-Apr,5,60,60,60,0,0,37,3.78,14,40.2,0.6,0.2,1,39.2
MCO,PDX,20-Apr,2,100,100,100,0,0,0,1.3,13,0,0,5.1,3.5,0
MCO,PHL,20-Apr,172,95.93,95.35,97.09,0,0,1.38,2.49,12.62,1.81,0.72,1.44,0.25,0.85
MCO,PHX,20-Apr,55,90.91,90.91,74.55,0,0,4.11,2.41,13,4.62,0.82,1.29,8.75,8.64
MCO,PIT,20-Apr,80,96.25,96.25,96.25,0,0,1.04,1.66,9.15,1.49,0.73,0.7,0.44,1.01
MCO,PVD,20-Apr,52,94.23,92.31,96.15,0,0,3.27,1.74,9.23,3.58,8,0.43,5.58,1.37
MCO,RDU,20-Apr,69,95.65,95.65,100,0,0,0.9,1.42,8.67,1.04,4.35,0.74,0.14,0.2
MCO,RSW,20-Apr,3,0,33.33,33.33,0,0,21.67,3.2,13.33,24,0,0.63,2.33,21
MCO,SAN,20-Apr,3,100,100,66.67,0,0,0,0.1,8.33,0,1.33,0.27,10.33,6.33
MCO,SAT,20-Apr,24,95.83,95.83,95.83,0,0,2.96,1.84,8.58,3.08,0.63,0.12,5.25,4.5
MCO,SDF,20-Apr,17,100,100,100,0,0,0.12,1.92,9.47,0.29,0.76,0.59,0.29,0
MCO,SEA,20-Apr,29,100,100,100,0,0,0.45,2.58,13.55,0.86,3.07,0.6,3.69,0.86
MCO,SFO,20-Apr,7,100,100,100,0,0,0,2.7,13.71,0,2.14,0,2.14,0
MCO,SJU,20-Apr,147,93.2,92.52,93.2,0,0,2.97,2.18,12.1,3.48,0.64,2.04,0.22,2.58
MCO,SLC,20-Apr,17,100,100,88.24,0,0,0.47,0.94,11.88,0.35,4.12,0.85,11,5.88
MCO,STL,20-Apr,90,96.67,96.67,96.67,0,0,1.09,1.52,8.41,1.33,1.17,0.21,1.69,1.38
MCO,SWF,20-Apr,1,100,100,100,0,0,0,0.5,12,0,0,2.4,0,0
MCO,TEB,20-Apr,1,0,0,0,0,0,34,3.3,14,37,5,0,8,42
MCO,TPA,20-Apr,12,75,75,75,0,0,19.83,2.31,13.17,21.42,0.67,0.98,1.75,21
MDW,ABQ,20-Apr,13,100,100,100,0,0,0,0.18,7.08,0,3.38,0.22,1.08,0.23
MDW,ATL,20-Apr,124,95.16,95.16,97.58,0,0,2.69,1.08,9.29,2.94,2.55,0.2,0.16,1.9
MDW,AUS,20-Apr,63,98.41,98.41,98.41,0,0,0.95,0.95,8.24,1.38,3.32,0.46,1,1.17
MDW,BDL,20-Apr,37,97.3,97.3,97.3,0,0,1.95,0.68,8.19,2.22,2.68,0.49,0,0.92
MDW,BHM,20-Apr,27,92.59,92.59,96.3,0,0,1.41,0.91,8.33,1.7,3.26,0.21,0.89,1.96
MDW,BNA,20-Apr,72,98.61,97.22,98.61,0,0,1.32,1.52,8.88,1.86,1.49,0.5,0.83,1.04
MDW,BOS,20-Apr,46,95.65,91.3,97.83,0,0,1.13,1.59,8.98,2.22,1.59,0.67,0.26,0.65
MDW,BUF,20-Apr,23,100,100,100,0,0,1,1.03,8,1.48,1.74,0.16,0,0.09
MDW,BUR,20-Apr,5,80,80,80,0,0,7,0.48,8.4,7.4,3.6,0,1.4,8.4
MDW,BWI,20-Apr,94,97.87,96.81,97.87,0,0,1.26,1.41,8.78,2.14,1.59,0.73,0.14,0.64
MDW,CLE,20-Apr,43,95.35,95.35,97.67,0,0,1.58,0.57,7.7,1.7,0.74,0.21,0,0.51
MDW,CLT,20-Apr,34,100,100,100,0,0,0.35,0.86,8.18,0.62,2.91,0.25,0,0
MDW,CVG,20-Apr,57,98.25,98.25,98.25,0,0,0.79,0.69,7.84,0.91,3,0.64,0,0.42
MDW,DAL,20-Apr,86,96.51,96.51,96.51,0,0,1.52,0.95,8.28,1.77,5.34,0.2,2.6,3.44
MDW,DCA,20-Apr,79,98.73,97.47,97.47,0,0,1.03,1.44,8.99,1.48,0.52,1.3,0.53,0.85
MDW,DEN,20-Apr,96,96.88,96.88,98.96,0,0,1.14,0.7,7.95,1.25,3.52,0.54,0.21,0.32
MDW,DTW,20-Apr,48,100,97.92,100,0,0,0.42,1.04,8.35,0.79,0.44,0.17,0,0.31
MDW,FLL,20-Apr,57,96.49,96.49,96.49,0,0,1.21,1.05,8.44,1.75,2.14,1.79,0.67,0.95
MDW,HOU,20-Apr,113,97.35,95.58,95.58,0,0,1.37,1.18,8.34,1.94,1.37,0.62,1.47,1.94
MDW,IND,20-Apr,13,92.31,92.31,92.31,0,0,4.85,0.18,7.46,4.85,0.46,0.15,0,4.62
MDW,JAX,20-Apr,16,100,100,100,0,0,0.63,1.18,8.5,0.75,1.81,0.1,0.81,0.5
MDW,LAS,20-Apr,112,97.32,95.54,99.11,0,0,1.13,1.32,8.7,1.71,2.61,0.31,0.38,0.7
MDW,LAX,20-Apr,87,96.55,95.4,96.55,0,0,2.24,1.13,8.36,2.83,3.08,0.25,0.99,1.9
MDW,LGA,20-Apr,32,96.88,93.75,96.88,0,0,1.72,1.51,9.09,2.78,7.03,0.27,0.09,0.66
MDW,MCI,20-Apr,77,98.7,96.1,97.4,0,0,1.31,1.67,9,2.23,1.86,0.37,1.1,1.19
MDW,MCO,20-Apr,125,99.2,98.4,100,0,0,0.38,0.85,8.18,0.83,2.86,0.74,0.1,0
MDW,MEM,20-Apr,21,100,100,100,0,0,1.05,0.89,8.05,1.62,3.43,0,0,0
MDW,MHT,20-Apr,26,100,100,96.15,0,0,0.88,1.5,8.88,1.27,2.92,0.23,0.62,1
MDW,MIA,20-Apr,3,0,0,0,0,0,63.67,0,7.67,63.33,0,0.6,0.67,63.67
MDW,MSP,20-Apr,79,94.94,93.67,94.94,0,0,2.11,1.17,8.51,2.85,0.42,0.14,0.46,1.57
MDW,MSY,20-Apr,43,97.67,95.35,95.35,0,0,2.72,0.6,7.77,2.81,3.09,0.42,0.7,1.58
MDW,OAK,20-Apr,39,92.31,94.87,97.44,0,0,1.67,0.95,8.28,2.21,2.26,0.45,0.33,1.03
MDW,OMA,20-Apr,61,95.08,95.08,95.08,0,0,3.11,1.12,8.52,3.51,2.23,0.16,0.07,2.49
MDW,ONT,20-Apr,17,88.24,88.24,82.35,0,0,1.94,0.8,8.24,2.35,1.29,0.05,2.76,4
MDW,PBI,20-Apr,4,50,50,50,0,0,23.25,3.15,11,26.25,0,0.05,0,21.5
MDW,PDX,20-Apr,11,100,100,100,0,0,0,1.25,8.82,0.45,0.18,0.04,0,0
MDW,PHL,20-Apr,77,93.51,90.91,94.81,0,0,3.43,1.81,9.1,4.64,0.51,0.19,0.82,2.83
MDW,PHX,20-Apr,143,94.41,93.71,92.31,0,0,2.5,1.23,8.54,3.03,1.65,0.1,1.71,3.01
MDW,PIT,20-Apr,52,98.08,98.08,98.08,0,0,1.48,0.98,8.38,1.73,1.73,0.57,0.17,0.87
MDW,PVD,20-Apr,20,100,100,100,0,0,1.1,0.86,7.8,1.55,2.4,0.35,0.05,0.1
MDW,RDU,20-Apr,44,97.73,97.73,100,0,0,1.16,0.67,7.57,1.32,0.77,0.25,0.02,0.11
MDW,RFD,20-Apr,1,0,0,0,0,0,27,0,7,26,0,0,0,22
MDW,RSW,20-Apr,83,97.59,97.59,97.59,0,0,1.23,1.14,8.76,1.7,2.64,0.5,0.71,1.24
MDW,SAN,20-Apr,59,98.31,96.61,94.92,0,0,0.86,1.62,8.86,1.75,2.66,0.11,1.85,2.12
MDW,SAT,20-Apr,25,96,96,96,0,0,1,0.73,8.24,1.2,0.96,0.3,1.36,1.36
MDW,SDF,20-Apr,33,96.97,96.97,96.97,0,0,1.45,0.8,7.94,1.82,2.97,0.2,0,1.06
MDW,SEA,20-Apr,35,97.14,97.14,97.14,0,0,1.06,1.5,8.97,1.89,2.94,0.62,0.09,0.63
MDW,SFO,20-Apr,24,83.33,83.33,87.5,0,0,6.71,1.61,9.08,7.17,2.63,0.63,0.42,4.21
MDW,SJC,20-Apr,6,83.33,83.33,83.33,0,0,2.5,0.57,8,2.67,2,0.57,1.67,4.17
MDW,SJU,20-Apr,14,100,92.86,100,0,0,0,3.77,11.36,2.79,2.5,1.17,1.36,1
MDW,SLC,20-Apr,18,94.44,94.44,94.44,0,0,3.28,0.61,7.94,3.33,4.17,0.66,0.28,2.78
MDW,SMF,20-Apr,16,100,93.75,93.75,0,0,0.63,3.16,10.69,2.88,4.5,0.22,2.38,2.5
MDW,STL,20-Apr,74,95.95,97.3,97.3,0,0,1.45,0.47,7.62,1.54,0.81,0.57,0.73,1.49
MDW,TPA,20-Apr,85,96.47,96.47,97.65,0,0,1.53,1.1,8.54,1.99,0.31,0.22,0.36,0.92
MDW,TUS,20-Apr,18,100,100,100,0,0,0.39,0.54,7.94,0.5,0.94,0.59,1.56,0.89
MEM,ABQ,20-Apr,1,0,0,100,0,0,16,0,12,16,0,0.3,0,13
MEM,ATL,20-Apr,79,97.47,98.73,97.47,0,0,1.76,0.1,10.24,1.04,0.7,1.7,1,1.34
MEM,AUS,20-Apr,22,59.09,50,54.55,0,0,14.05,2.25,14.27,16.32,0.45,0.61,1.18,15.23
MEM,BNA,20-Apr,1,100,100,100,0,0,0,0,12,0,4,0,3,0
MEM,BWI,20-Apr,19,100,100,100,0,0,0.26,0.12,9.37,0.05,0.95,0.57,0,0
MEM,CLT,20-Apr,46,97.83,95.65,97.83,0,0,0.59,3.61,14.11,2.09,3.22,1.92,0.98,1.04
MEM,CVG,20-Apr,22,90.91,90.91,90.91,0,0,6.27,0.45,12.5,6.77,0,0.3,0,5.55
MEM,DAL,20-Apr,29,96.55,96.55,96.55,0,0,1.69,0.16,7.52,1.38,1.59,0.26,1.52,1.72
MEM,DCA,20-Apr,25,100,100,100,0,0,0,1.06,11.76,0,2.28,1.72,0,0
MEM,DEN,20-Apr,45,100,100,100,0,0,0.29,1.63,12.36,0.64,2.91,1.38,0.73,0.33
MEM,DFW,20-Apr,74,95.95,94.59,95.95,0,0,1.74,3.37,14.01,3.01,2.3,4.97,1.91,2.05
MEM,DTW,20-Apr,24,100,100,100,0,0,0.63,0.41,11.92,0.33,1.58,1.52,0.5,0.08
MEM,EWR,20-Apr,7,100,100,100,0,0,0,0.51,10.57,0,0.71,2.16,0,0
MEM,FLL,20-Apr,2,100,100,100,0,0,0,0,10.5,0,2,1.1,0,0
MEM,HOU,20-Apr,23,100,100,100,0,0,0.39,0.03,7.87,0.35,0.3,0.49,1.04,0.78
MEM,IAD,20-Apr,1,100,100,0,0,0,0,4.6,17,5,20,0.5,22,26
MEM,IAH,20-Apr,27,100,100,100,0,0,0,2.63,13.67,0.11,2.15,4.64,1.59,0.26
MEM,LGA,20-Apr,3,100,100,100,0,0,0,0.6,13,0,3.67,0,0,0
MEM,MCO,20-Apr,6,100,100,100,0,0,0,0.43,10.5,0.17,1.5,1.95,0,0
MEM,MDW,20-Apr,22,95.45,95.45,95.45,0,0,3.55,0,7.91,3,4.05,0.58,0.32,3.45
MEM,MIA,20-Apr,18,100,100,100,0,0,0,0.54,11.17,0.22,0.5,0.53,0.39,0
MEM,MKE,20-Apr,1,0,0,0,0,0,54,1.6,14,56,0,0,0,54
MEM,MSP,20-Apr,19,94.74,94.74,100,0,0,0.79,1.37,13,2.26,0.95,0.14,1.21,1.11
MEM,OMA,20-Apr,1,100,100,100,0,0,0,0,12,0,1,0.9,2,0
MEM,ORD,20-Apr,53,94.34,94.34,96.23,0,0,2.57,1.48,12.96,2.66,3.42,3.28,0,1.3
MEM,PHX,20-Apr,3,100,100,100,0,0,0,4.93,15.33,2,0.67,2.93,2,1.67
MEM,RDU,20-Apr,1,0,0,0,0,0,60,0,12,60,0,2.1,0,57
MEM,SAT,20-Apr,2,100,100,100,0,0,0,0,12,0,6.5,0.6,0,0
MEM,TEB,20-Apr,2,0,0,0,0,0,40.5,1.8,13.5,42,0,0,2.5,41.5
MEM,TPA,20-Apr,11,100,100,90.91,0,0,0,0,9.27,0,0.09,3.52,2.09,1.55
MHT,ATL,20-Apr,1,100,100,100,0,0,0,0,9,0,0,0,0,0
MHT,BWI,20-Apr,84,98.81,98.81,98.81,0,0,1.3,1.14,9.04,1.73,0.14,0.34,0.44,1.1
MHT,CLT,20-Apr,6,100,100,100,0,0,0,2.92,12.33,0,2.33,3.5,1.17,0
MHT,DCA,20-Apr,2,100,100,100,0,0,0,4,13.5,3,10,0.8,0,0
MHT,DTW,20-Apr,38,100,97.37,100,0,0,0.08,2.05,10.82,0.92,3.16,2.13,2.42,0.87
MHT,GYY,20-Apr,1,0,0,100,0,0,23,1.5,11,25,0,0,0,11
MHT,IAD,20-Apr,1,0,0,0,0,0,37,2.5,12,40,0,0,0,37
MHT,LGA,20-Apr,1,100,100,100,0,0,0,1.5,11,2,3,0,5,5
MHT,MCO,20-Apr,38,100,100,94.74,0,0,0,1.79,9.97,0.87,1.24,1.05,4.39,2.71
MHT,MDW,20-Apr,22,95.45,95.45,95.45,0,0,0.91,2.27,10.36,1.27,0.5,0.69,0.64,1.09
MHT,ORD,20-Apr,52,98.08,94.23,100,0,0,0.79,5.01,14.37,2.4,7.1,2.71,0.58,0.17
MHT,PHL,20-Apr,42,92.86,90.48,92.86,0,0,2.6,4.74,14.14,4.36,9.1,3.11,1.48,2.4
MHT,TEB,20-Apr,1,0,0,0,0,0,35,0,8,34,15,0,12,48
MHT,TPA,20-Apr,12,100,100,100,0,0,0,0.58,8.83,0.17,0.67,0.81,2.75,2.08
MIA,ANC,20-Apr,11,45.45,36.36,45.45,0,0,25.45,2.45,15,27.45,6.09,0.84,6.18,31.18
MIA,ATL,20-Apr,179,95.53,95.53,95.53,0,0,1.34,0.7,12.55,1.17,0.94,0.35,1.17,1.36
MIA,AUS,20-Apr,43,97.67,97.67,95.35,0,0,2.3,2.21,14.07,2.74,2.44,1.88,3.91,4.26
MIA,BDL,20-Apr,18,100,100,94.44,0,0,0.94,0.76,12.56,0.83,4.11,0.85,3.28,2.39
MIA,BNA,20-Apr,28,85.71,85.71,85.71,0,0,3.75,1.49,13.07,3.89,0.86,0.98,1.54,3.93
MIA,BOS,20-Apr,82,92.68,92.68,97.56,0,0,2.39,0.79,12.21,2.27,0.82,1.99,0.07,0.83
MIA,BWI,20-Apr,33,90.91,90.91,90.91,0,0,4.42,2.25,15.15,6.48,0.09,0.15,0,3.94
MIA,CLE,20-Apr,15,100,93.33,100,0,0,0.93,1.2,13.13,1.27,1.6,2.33,1,0.67
MIA,CLT,20-Apr,127,96.06,95.28,98.43,0,0,1.73,0.83,12.12,1.8,2.28,0.95,0.18,1.17
MIA,CVG,20-Apr,50,84,84,88,0,0,6.9,1.78,14.58,8.12,0.28,0.62,0.66,6.8
MIA,DCA,20-Apr,82,96.34,95.12,96.34,0,0,1.6,1.44,12.99,1.85,1.18,0.47,0.43,1.41
MIA,DEN,20-Apr,42,92.86,92.86,95.24,0,0,1.98,1.92,14.05,2.55,0.98,1.7,4.48,3.31
MIA,DFW,20-Apr,88,87.5,85.23,87.5,0,0,6.27,1.71,13.49,7.24,1.19,4.8,2.47,7.07
MIA,DTW,20-Apr,48,93.75,93.75,89.58,0,0,2.58,1.33,13.4,2.46,0.67,0.96,2.33,2.73
MIA,EWR,20-Apr,32,96.88,93.75,100,0,0,0.63,2.63,14.59,2,0.44,1.62,0.5,0.34
MIA,FLL,20-Apr,8,37.5,37.5,37.5,0,0,36.88,1.63,14.13,37.88,0.63,1.06,1,36.63
MIA,GYY,20-Apr,1,100,100,100,0,0,0,0,13,0,0,0,0,0
MIA,HOU,20-Apr,1,100,100,100,0,0,0,0,13,0,5,0,3,0
MIA,HPN,20-Apr,1,0,0,0,0,0,23,1,14,24,0,0.4,0,20
MIA,IAD,20-Apr,11,100,100,100,0,0,0,0.35,12.27,0,1.55,0.23,0.64,0
MIA,IAH,20-Apr,130,86.15,87.69,85.38,0,0,6.33,1,13.21,6.57,1.34,1.61,0.95,6.29
MIA,IND,20-Apr,27,88.89,92.59,92.59,0,0,2.33,2.33,14.74,3.3,5.22,2.03,2.33,2.81
MIA,JAX,20-Apr,54,94.44,94.44,96.3,0,0,1.69,2.61,15.02,2.28,1.15,0.79,0.93,1.61
MIA,JFK,20-Apr,68,88.24,89.71,92.65,0,0,4.74,1.36,14.13,5,1.37,0.89,1.34,3.35
MIA,LAS,20-Apr,26,84.62,88.46,84.62,0,0,12.42,0.85,12.35,12.31,0.31,1.22,8.62,15.31
MIA,LAX,20-Apr,84,92.86,92.86,80.95,0,0,2.71,0.95,12.77,2.86,1.08,1.34,8.77,7.85
MIA,LGA,20-Apr,43,95.35,95.35,95.35,0,0,2.67,0.86,12.26,2.58,0.98,0.89,0.37,1.44
MIA,MCI,20-Apr,24,100,95.83,91.67,0,0,0,3.79,16.13,1.58,2,2.09,7.71,3.04
MIA,MCO,20-Apr,105,91.43,90.48,92.38,0,0,3.83,1.33,12.9,3.93,3.68,2.82,2.62,4.55
MIA,MDW,20-Apr,2,0,0,0,0,0,39,0,11.5,37.5,1.5,0,0,36.5
MIA,MEM,20-Apr,17,94.12,94.12,94.12,0,0,2.18,2.35,14.88,3,10.06,0.49,4,3.88
MIA,MSP,20-Apr,40,97.5,97.5,95,0,0,1.23,1.18,13.35,0.95,2.05,0.19,4.5,2.58
MIA,MSY,20-Apr,58,96.55,96.55,94.83,0,0,1.74,1.58,13.67,1.95,2.24,1.69,2.28,2.28
MIA,OMA,20-Apr,4,100,100,100,0,0,0,2.25,15,0,5.25,1.3,0,0
MIA,ORD,20-Apr,152,92.11,91.45,92.76,0,0,3.64,1.28,12.71,4.12,0.49,1.81,1.2,3.14
MIA,PBI,20-Apr,1,0,0,0,0,0,22,0,12,21,1,2.2,2,24
MIA,PHL,20-Apr,58,93.1,94.83,96.55,0,0,1.98,1.79,13.83,2.48,2.1,1.2,1.48,2.16
MIA,PHX,20-Apr,42,97.62,95.24,80.95,0,0,3.31,1.27,12.74,3.67,0.57,1.63,7,6.88
MIA,PIT,20-Apr,20,95,95,95,0,0,1.3,1.4,13.05,1.75,3,0.73,0.6,1.6
MIA,RDU,20-Apr,48,91.67,93.75,93.75,0,0,6.42,0.78,11.81,6.42,1.52,2.07,0.21,5.6
MIA,RSW,20-Apr,7,85.71,85.71,85.71,0,0,3,2.47,15.43,4.43,0.86,0.13,1.57,5.14
MIA,SAN,20-Apr,28,92.86,92.86,82.14,0,0,3.18,0.96,12.82,3.25,1.36,0.81,7.57,5.61
MIA,SAT,20-Apr,24,91.67,91.67,91.67,0,0,7.54,1.53,13.71,8,0.79,1.49,1.38,7.04
MIA,SDF,20-Apr,25,92,92,88,0,0,4.44,1.88,14.36,4.72,4.28,1.98,2.68,5.56
MIA,SEA,20-Apr,21,85.71,85.71,85.71,0,0,5.95,2.55,15.14,6.38,1.14,1.06,4.48,6.14
MIA,SFO,20-Apr,50,100,100,94,0,0,0.48,1.79,14.18,1.02,1.78,0.84,4.78,2.5
MIA,SJC,20-Apr,1,100,100,100,0,0,0,0,13,0,0,0,0,0
MIA,SJU,20-Apr,101,83.17,83.17,81.19,0,0,6.22,1.08,13.3,6.77,0.88,2.23,1.05,7.33
MIA,STL,20-Apr,25,96,100,100,0,0,0.6,2.22,13.72,0.52,1.12,2.08,2.48,0.08
MIA,TPA,20-Apr,57,96.49,96.49,96.49,0,0,1.74,1.85,13.21,2.14,3.05,0.4,0.49,1.32
MKE,ABQ,20-Apr,1,100,100,100,0,0,0,1.1,13,0,0,1.9,0,0
MKE,ATL,20-Apr,79,98.73,98.73,98.73,0,0,0.34,1.75,11.78,1.16,1.48,0.13,1.38,0.68
MKE,BNA,20-Apr,27,92.59,92.59,96.3,0,0,1.67,1.14,9.89,2.07,3.04,0.56,0.52,1.56
MKE,BWI,20-Apr,21,95.24,95.24,100,0,0,1.33,0.93,9.38,1.43,1.76,1.51,0,0.14
MKE,CLE,20-Apr,21,100,100,100,0,0,0.24,1.24,9.57,0.33,0.33,0.25,0,0
MKE,CLT,20-Apr,5,80,80,100,0,0,6,3.62,14,7.4,9.2,1.54,0,0
MKE,CVG,20-Apr,21,95.24,95.24,95.24,0,0,1.67,0,10,1.67,0.24,0.3,0,1.48
MKE,DAL,20-Apr,27,100,100,100,0,0,0.11,0.57,8.63,0.19,2.19,0.52,0.74,0.33
MKE,DCA,20-Apr,36,100,100,100,0,0,0.47,1.58,10.28,0.94,0.61,0.93,0.17,0.06
MKE,DEN,20-Apr,71,98.59,97.18,100,0,0,0.35,2.02,11.39,1.3,4.07,1.52,0.32,0.2
MKE,DFW,20-Apr,46,91.3,86.96,93.48,0,0,2.46,3.23,13.91,4.22,0.8,5.11,2.59,3.02
MKE,DTW,20-Apr,53,90.57,90.57,90.57,0,0,4.36,1.35,11.13,4.94,4.6,2.7,1.58,4.87
MKE,FLL,20-Apr,10,100,100,100,0,0,0,1.64,10.1,0.7,2.5,0.72,0.2,0
MKE,HOU,20-Apr,4,100,100,100,0,0,0,1.18,10.25,0,0.75,0.4,0,0
MKE,IAD,20-Apr,2,100,100,100,0,0,0,5.45,15.5,5.5,1,0,0,3
MKE,IAH,20-Apr,30,90,86.67,86.67,0,0,3.53,3.45,14.37,5.23,16.3,2.26,15.2,17.57
MKE,IND,20-Apr,1,0,0,0,0,0,89,0,9,88,1,0,0,89
MKE,LAS,20-Apr,38,100,100,100,0,0,0.03,1.02,9.29,0.24,3.58,0.57,0.29,0.03
MKE,LAX,20-Apr,2,100,100,100,0,0,7,0.45,9.5,7.5,3,0,0,1.5
MKE,LGA,20-Apr,12,100,100,100,0,0,0,2.78,11.58,1.58,6.08,0.05,0.33,0
MKE,MCI,20-Apr,22,100,100,100,0,0,0.27,0.92,9.09,0.55,0.77,1.07,1.09,0.18
MKE,MCO,20-Apr,61,98.36,96.72,98.36,0,0,0.85,1.41,10.25,1.34,2,0.62,0.15,0.92
MKE,MDW,20-Apr,1,100,100,100,0,0,0,0,9,0,3,0,0,0
MKE,MEM,20-Apr,1,0,0,0,0,0,44,0.9,11,45,1,5.3,10,54
MKE,MSP,20-Apr,53,94.34,94.34,90.57,0,0,2.6,2.11,11.77,3.92,1.89,0.12,4.75,3.96
MKE,ORD,20-Apr,72,93.06,90.28,97.22,0,0,3.07,3.02,13.5,4.01,0.67,1.48,0.5,1.71
MKE,PHL,20-Apr,11,100,100,100,0,0,0,3.19,13.18,0.09,7.36,2.36,1.45,0.36
MKE,PHX,20-Apr,117,98.29,98.29,99.15,0,0,0.99,1.28,10.38,1.36,0.97,0.33,1.28,1.16
MKE,PIT,20-Apr,1,100,100,100,0,0,0,0,10,0,2,0,0,0
MKE,PVD,20-Apr,4,100,100,100,0,0,0,0,10,0,4,0,3.75,2.25
MKE,RSW,20-Apr,40,97.5,97.5,100,0,0,0.68,1.29,9.48,1.07,2.8,0.13,0.48,0.28
MKE,SAT,20-Apr,1,100,100,100,0,0,0,4.9,15,5,0,0,0,0
MKE,SEA,20-Apr,23,100,95.65,95.65,0,0,0,3.83,13.96,1.13,10.52,2.5,2.43,1.26
MKE,SNA,20-Apr,1,0,0,0,0,0,50,0.9,11,51,0,0,0,50
MKE,STL,20-Apr,19,100,94.74,94.74,0,0,0,3.21,11.84,1.84,0.26,0.37,2.47,1.79
MKE,TPA,20-Apr,50,96,96,98,0,0,1.04,2.14,10.68,2.14,0.5,0.52,0.2,0.34
MSP,ATL,20-Apr,137,96.35,89.05,92.7,0,0,1.8,3.19,13.34,4.45,0.31,1.24,2.82,3.66
MSP,AUS,20-Apr,28,96.43,89.29,89.29,0,0,3.75,2.89,14.07,6.07,0.46,0.63,3.89,5.93
MSP,BDL,20-Apr,21,100,90.48,100,0,0,0.62,3.3,14.24,2.48,0.43,0.09,1.95,0.95
MSP,BNA,20-Apr,54,85.19,85.19,90.74,0,0,6.98,3.25,13.48,9.5,0.78,0.7,2.43,4.65
MSP,BOS,20-Apr,63,93.65,88.89,96.83,0,0,2.83,2.67,13.4,4.14,1.46,0.52,1.02,2.27
MSP,BWI,20-Apr,73,97.26,91.78,94.52,0,0,1.41,2.46,11.63,2.97,1.42,1.11,2.04,2.18
MSP,CLE,20-Apr,22,95.45,86.36,86.36,0,0,4.64,3,13.05,6.77,5.27,0.91,2.14,5.45
MSP,CLT,20-Apr,52,96.15,90.38,92.31,0,0,1.92,4.16,15.81,4.27,1.35,1.59,1.65,1.73
MSP,CVG,20-Apr,82,91.46,90.24,93.9,0,0,3.16,1.73,13.85,4.4,0.18,0.29,1,3.66
MSP,DAL,20-Apr,14,100,92.86,92.86,0,0,0.07,4.99,14.29,3.29,1.64,0.06,2.57,1.86
MSP,DCA,20-Apr,74,95.95,93.24,97.3,0,0,1.3,2.4,12.77,2.55,4.62,0.85,3.77,3.8
MSP,DEN,20-Apr,152,98.03,91.45,95.39,0,0,0.84,2.71,13.03,2.47,3.01,1.01,2.31,2.28
MSP,DFW,20-Apr,88,95.45,92.05,94.32,0,0,1.42,2.75,14.13,2.44,0.77,3.48,1.43,1.78
MSP,DTW,20-Apr,107,96.26,89.72,91.59,0,0,1.85,4.16,14.8,4.98,0.22,1.01,3.69,4.08
MSP,EWR,20-Apr,28,92.86,89.29,89.29,0,0,5.11,2.64,13.07,7.11,10.14,1.31,1.5,4.93
